id,stedsnavn,kommune,vassdrag,snap_avstand_m,fkb_avstand_felt_m,fkb_avstand_snappet_m,fkb_uenighet
8,Kystveien ,Arendal,Songebekken,0.0,0.0,0.0,False
12,Arendal,Arendal,,407.72,407.72,0.0,False
17,Arendal ,Arendal,,478.72,478.72,0.0,False
28,Arendal ,Arendal,,392.43,392.43,0.0,False
32,Arendal ,Arendal,"Assævannet, bekkefelt",0.0,0.0,0.0,False
35,Arendal ,Arendal,,1.06,1.06,0.0,False
43,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,9.67,260.52,257.38,True
67,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,5.84,605.08,607.39,True
88,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,8.61,1024.1,1032.67,True
99,Hoveveien (bekk som renner ut i sandumkilen),Arendal,,0.0,0.0,0.0,False
103,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,53.96,1086.24,1032.51,True
117,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,0.01,0.01,0.0,False
122,Kystveien ,Arendal,,0.74,0.74,0.0,False
136,Arendal ,Arendal,"Flostadøysund, bekkefelt",9.51,468.63,459.71,True
142,Arendal ,Arendal,"Longumvatnet, bekkefelt",0.34,0.34,0.0,False
144,Skoleveien (bekk fra Stemmetjønn til fjord),Arendal,"Flostadøysund, bekkefelt",0.34,0.34,0.0,False
172,Tvedestrand ,Arendal,Bekk til Strengereidvannet,3.2,3.2,0.0,False
184,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",0.52,0.52,0.0,False
187,Arendal,Arendal,Mørløsvatnet - Nidelva,1.08,1.08,0.0,False
234,Arendal ,Arendal,Molandsvann bekkefelt,7.08,484.89,490.36,True
241,Riseveien / Jernbaneveien (bekk del av Riseevja som renner ut i Nidelva),Arendal,Messelbekken,0.0,0.0,0.0,False
257,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,0.0,0.0,0.0,False
259,Arendal,Arendal,Molandsvann bekkefelt,4.55,60.47,58.31,True
281,Arendal ,Arendal,Mørløsvatnet - Nidelva,0.0,0.0,0.0,False
285,Tromøy,Arendal,,921.64,1100.4,577.41,True
288,Tromøy,Arendal,,357.8,1073.85,731.42,True
297,Arendal ,Arendal,"Nidelva, Bekkefelt Helle",0.51,534.54,534.99,True
299,Arendal ,Arendal,Molandsvann bekkefelt,2.14,2.14,0.0,False
301,Tromøy ,Arendal,,0.0,0.0,0.0,False
317,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,0.0,0.0,0.0,False
339,Dalenveien (sidebekk Totjern),Arendal,Mørfjærbekken inkl. bekkefelt,0.74,1.61,0.88,False
342,Tromøy kirkevei (sidebekk Gjerstadvannet),Arendal,,0.69,0.69,0.0,False
360,Rykeneveien (Rannekleivbekken ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",1.57,1.57,0.0,False
375,Arendal ,Arendal,Mørfjærbekken inkl. bekkefelt,1.62,1.64,0.22,False
430,Arendal ,Arendal,Nidelva-ytre bekkefelt,0.0,0.0,0.0,False
497,Tvedestrand ,Arendal,,0.79,0.79,0.0,False
499,Arendal ,Arendal,Messelbekken,0.0,0.0,0.0,False
510,Rykeneveien (Kvennebekken renner ned til Nidelva),Arendal,"Nidelva, Bekkefelt Helle",2.85,2.85,0.0,False
536,Langsæveien (Langsævannet til Barbuelva),Arendal,Barbuelva,0.0,0.0,0.0,False
545,Arendal ,Arendal,Molandsvann bekkefelt,0.0,0.0,0.0,False
563,Kystveien (bekk mellom Bjellandsvannet og Jorunnstadkilen),Arendal,"Flostadøysund, bekkefelt",0.0,0.0,0.0,False
598,Tverrdalsøyveien (bekk mellom Tjønna og Staubøfjorden),Arendal,,0.58,0.58,0.0,False
624,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,1.01,239.56,239.89,True
631,Arendal ,Arendal,"Mørløsvatnet - Nidelva, bekkefelt",1.67,395.83,396.53,True
