id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp
0,Mandal ,Lindesnes,Trondstadvatnet bekkefelt,022.2B0,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Plastkulvert, helt grei. Ikke hinder. Men noe lav vannføring ",0,7.7064635806860595,58.15165375992144,7.706280692768315,58.151549994802025
1,0,Kristiansand,,022.1B2,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Tørt og mye vegetasjon, som blokerer inngangen noe, men bør kunne vandres igjennom. ",0,7.848541805204263,58.133020447186105,7.84832767078219,58.13306475636125
2,0,Lillesand,,020.2230,Ikke angitt,Ikke angitt,#999999,Ikke vurdert / mangler data,,,30.0,Finner ikke nedstrøms ,bekkelukking,8.288955951862931,58.21548068353875,8.288942684159208,58.21591532324125
3,Ålefjærveien,Vennesla,Venneslafjorden bekkefelt,021.A4Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,12.0,"Lite rør, ser tett ut, men bør ellers kunne vandres gjennom. ",0,7.986672755476401,58.258661651931256,7.986551715212752,58.25858011189017
4,Dypvågveien (bekk Størdalstjenn),Tvedestrand,"Kråkvågbekken, inkl. bekkefelt",018.61Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,6.0,"Små plaststikkrenner, ikke passende for fisk og passere. Heller ikke særlig habitat oppstrøms. Hovedsak drenering fra landbruk ",0,9.040586180396705,58.62484902404701,9.041005035584694,58.62484067346484
5,Mandal ,,Mandalselva - Laudal til Øyslebø bekkefelt,022.B1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,8.0,"Bekk veldig gjengrodd og begrenset oppstrøms mot innsjøe. Kulvert litt høy og liten. Begrenset bekk nedstrøms. Hvis der kommer ål opp, så er kulvert hinder for ål ",0,7.466412045779061,58.177260028238926,7.466361869290596,58.17719635397226
6,Arendal,,,018.C2Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Blir delvis blokkert av kvist oppstrøms. Fint habitat, men alt for stillestående og sølete vann. Kulvert ok ",0,8.84552757143892,58.57458109726584,8.845748164440822,58.57465720887846
7,Ålefjær ,Vennesla,Venneslafjorden bekkefelt,021.A4Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,"Jeg går utifra at disse 3 rørene henger sammen,  tror at fisk hvis fisk kan passere vil denne uansett fungere som hinder i en grad  ",0,7.986730718291407,58.25867469568457,7.986551715212752,58.25858011189017
8,Kystveien ,Arendal,Songebekken,019.121Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,25.0,"Denne er sannsynligvis vandringsbarriere grunnet lite rør, og høy stigning",0,8.819975228863223,58.478525327562295,8.819946941067725,58.47891323932792
9,Søgne vgs ,Kristiansand,Søgneelva - Brennåsen til utløp,022.1A12,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ubetydelig. Finner ikke 100% kulverten nedstrøms. Var tett på oppsiden, mulig gravd ned, eller fylt over. Sannsynligvis uansett ikke egnet for fisk ",drensrør,7.853428750100054,58.08812549012896,7.853540683981846,58.08818763363021
10,Arendal ,Froland,,019.B,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,8.0,"Ikke fiskehabitat, bare drenering ",0,8.670512125490392,58.51459764690054,8.670391571905808,58.514889205858836
11,Vegårshei ,Åmli,"Nelaug - Flaten, bekkefelt",019.C12,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,10.0,"Meir grøft en bekk, kulvert ikke hinder. Tørt ",0,8.689411915035985,58.649773628568944,8.689570084275555,58.649691652548086
12,Arendal,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,0.0,Kulvert ikke hinder hvis der skulle bli nok vann ti bekken. Er veldig lite vann nedstrøms. Og helt tr,0,8.97109670158812,58.54394618913483,8.970914217878603,58.54399612880631
13,Høvåg ,Lillesand,Isefjærfjorden bekkefelt,020.41,Neppe fiskeførende,Neppe fiskeførende,#2c7fb8,Neppe fiskeførende bekk,,,8.0,"Bør nok gjennomspyles. Kulvert i seg selv ikke hinder sannsynligvis, men bekk nedstrøms er for bratt for vandring oppover ",0,8.242965688586223,58.18918512765732,8.242933455013194,58.189331641709714
15,Toftelandsveien (sidebekk Søgneleva),Kristiansand,Søgneelva - Brennåsen til utløp,022.1A12,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,12.0,"Ikke viktig! Sannsynligvis ikke fiskeførende. Veldig høy avstand fra elv og opp, leder heller ikke til egnet gytehabitat. ",drensrør,7.833230920375812,58.10764973340267,7.833625165136105,58.10760691864672
16,justvik,Kristiansand,Hemmingsvatnet,021.122Z,Ikke hinder,Ikke hinder,#1a9641,Ikke et vandringshinder,,,15.0,"usikker på om dette er utløp, hvis det er det, vil det være nødvendig med høyere vannstand for at fisk skal passere. tørt og Per nå 40 meter ut til innsjøen. ",drensrør,8.031894542555984,58.20620219927969,8.032232958607993,58.206055729621994
17,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Bekk er helt tør nå, men bekkeleie nedstrøms bærer preg av at det vil være en bekk her når det er mer nedbør ",0,8.976070479602477,58.54494269744493,8.975946321455064,58.54496933071119
18,Grimstad ,Grimstad,"Amtedal-Penndalen, bekkefelt",019.22Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,12.0,Kulvert vil sannsynligvis være hinder på grunn av høyde og diameter på rør. ,0,8.496024313758658,58.283676567586504,8.495817210965901,58.28353679366229
19,Arendal ,,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,18.0,"Selve kulvert er nok ikke vandringshinder, men bekk både oppstrøms og nedstrøms er svært redusert. Og mye potensielle hindere lengre ned i bekk. ",0,8.977387399830622,58.54051482006215,8.976797999014021,58.54065718517206
20,Moveien (sidebekk Mellomtjenn),Vegårshei,Vegårvasselva bekkefelt,018.F,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,10.0,"Ligger 2 betongstikkrenner, under den i plast. Disse ser tette ut, og kan ikke ses oppstrøms. ",0,8.857419811277023,58.83675032463096,8.857403343174342,58.83685408059794
