id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp,lon_snappet,lat_snappet,snap_avstand_m,oppstrom_lengde_km,oppstrom_innsjo_km2,prioriteringsscore,anadrom_strekning,ekspert_prioritering,type_tiltak,fagkommentar,prioritering_avstand_m
8,Kystveien ,Arendal,Songebekken,019.121Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,25.0,"Denne er sannsynligvis vandringsbarriere grunnet lite rør, og høy stigning",0,8.819975228863223,58.478525327562295,8.819946941067725,58.47891323932792,8.819938498056148,58.47852488520086,2.142657751334991,1.0037883919040425,0.01,58,Ja,3,UavklartMåBefares,ØK Anadrom helt nederst. Det er store høydeforkjeller som gjør at dette ikke vil være en sjøørretbekk videre oppover. Det kan være aktuelt med tiltak for ål.,0.0
12,Arendal,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,0.0,Kulvert ikke hinder hvis der skulle bli nok vann ti bekken. Er veldig lite vann nedstrøms. Og helt tr,0,8.97109670158812,58.54394618913483,8.970914217878603,58.54399612880631,8.95266352485521,58.54830535010205,1177.6068193192095,1.3456142157215245,0.1,74,,,,,0.0
17,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Bekk er helt tør nå, men bekkeleie nedstrøms bærer preg av at det vil være en bekk her når det er mer nedbør ",0,8.976070479602477,58.54494269744493,8.975946321455064,58.54496933071119,8.96040120909212,58.55386949088195,1348.9224682367706,0.1895998598673019,0.07,45,,,,,0.0
28,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Usikker på om kulvert ville vært hinder, ved nok vann til å støtte fisk. Sannsynligvis ok. Helt tør bekk nedstrøms og oppstrøms ",0,8.965973251460088,58.54263256174831,8.965509278043037,58.542597258318224,8.95266352485521,58.54830535010205,999.5756837709384,1.3456142157215245,0.1,74,,,,,0.0
32,Arendal ,Arendal,"Assævannet, bekkefelt",019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,13.0,"Fin steinkulvert. Er registrert som usikker i forhold til hinder fordi denne er smal og det samler seg noe kvist inni kulvert. Ikke nok til å være barriere, men kan gjøre gjennomvandring noe vanskeligere ",0,8.724842191975306,58.49696965125205,8.72497414767669,58.49705655962538,8.724883496519231,58.49695105754957,3.1752757864294217,0.9838041749944888,0.04,59,Uklart,0,LettRensk,ØK Om anadrom fisk kommer forbi Stampefoss så er det anadrom strekning,0.0
35,Arendal ,Arendal,,019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,17.0,"Usikker på hinder på grunn av lengde, men fin ingang til kulvert og fint habitat nedstrøms ",0,8.687838960715485,58.4779067983464,8.687973030523134,58.47813538768054,8.683905892046328,58.47874779644922,247.7503251475282,23.66276302577967,1.34,98,,,,,0.0
43,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,"Nederste del av kulvert er løsnet, resten er fylt igjen med jord. ",0,8.621837618726902,58.4346229456585,8.621837470542038,58.43451059529082,8.621722274593987,58.43456056681236,9.674707006479316,0.6709730863111635,0.0,31,Uklart,0,LettRensk,,0.0
67,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,Noe landbrukspreget bekk. Usikker på hinder ,0,8.627417907185016,58.41353926482426,8.62762295582256,58.41384733524114,8.627318255667156,58.41354299973125,5.837124629747923,0.3780222252272072,0.0,27,,,,,0.0
88,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,16.0,Fisk vil ikke kunne komme opp til kulvert. Men er ikke mye til bekk nedstrøms uansett. ,0,8.650365984375926,58.44438223955545,8.65020660598639,58.44447314680652,8.650511746794162,58.444394112608975,8.611021471118491,0.3436942203069155,0.0,26,Nei,3,UavklartMåBefares,,0.0
99,Hoveveien (bekk som renner ut i sandumkilen),Arendal,,019.11,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,15.0,"Kulvert tett oppstrøms, mye vegetasjon i bekkeløp begge sider. ",0,8.845738969761783,58.44553813670223,8.845954783233921,58.44597442697571,8.84312505881962,58.45206939960746,743.0302434811966,1.5911459699078292,0.25,81,Ja,0,LettRensk,rør ikke tett -begge ligger fint og ikke trenger rensk,0.0
103,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,Usikker på om fisk noen gang vil kunne bruke denne bekken. Kulvert blokkert av kvist nedstrøms. Bekk gjengrodd ,0,8.651429720799408,58.44445286472524,8.651468581184893,58.44455776649031,8.650516381263806,58.44437847275912,53.95609159561992,0.0017622540747787,0.0,21,Nei,0,LettRensk,,0.0
117,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,22.0,"Så noe som vaket, enten frosk eller fisk. Er 2 kulverter, der kun den ene er i bruk. Kulvert mulig hinder siden den er lang og kan være tett. Landbrukspreget bekk ",0,8.62247464600512,58.448179262555165,8.622279625475459,58.44835993517926,8.622581216753936,58.44818451788558,6.247908481459047,0.7822387668817803,0.0,38,,,,,0.0
122,Kystveien ,Arendal,,019.1210,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Sannsynligvis vandringshinder lengre opp, fin bekk ned mot sjøen. ",0,8.8135144268467,58.472497537012046,8.81398186242183,58.472537185860375,8.819945703868694,58.47836073820005,752.9070055653615,0.0182812277688312,0.0,22,,,,,0.0
136,Arendal ,Arendal,"Flostadøysund, bekkefelt",018.712,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Kulvert ikke hinder, men er ikke noe serlig bekk nedstrøms, veldig mye vegetasjon",0,8.951162051762601,58.55218840452822,8.951742898564333,58.5523102573924,8.951229808322557,58.55211065076031,9.51304608890896,0.7783637314540945,0.07,57,,,,,0.0
