id,stedsnavn,kommune,vassdrag,regine,vurdering_raw,barrier_category,barrier_color,barrier_label,problem_beskrivelse,diameter_cm,lengde_m,kommentar,kommentar_utfyllende,lon_ned,lat_ned,lon_opp,lat_opp,lon_snappet,lat_snappet,snap_avstand_m,elvenett_avstand_m,snap_kilde,fkb_avstand_felt_m,score_upalitelig,oppstrom_lengde_km,oppstrom_innsjo_km2,prioriteringsscore
8,Kystveien ,Arendal,Songebekken,019.121Z,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,25.0,"Denne er sannsynligvis vandringsbarriere grunnet lite rør, og høy stigning",0,8.819975228863223,58.478525327562295,8.819946941067725,58.47891323932792,8.819975228863225,58.478525327562295,0.0,2.14265775131904,FKB-Vann,0.0,False,1.0037883919040425,0.01,55
12,Arendal,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,0.0,Kulvert ikke hinder hvis der skulle bli nok vann ti bekken. Er veldig lite vann nedstrøms. Og helt tr,0,8.97109670158812,58.54394618913483,8.970914217878603,58.54399612880631,8.973020993553064,58.54042527356677,407.71823102801983,1177.6068193192095,FKB-Vann,407.71823102801983,False,1.3456142157215243,0.1,74
17,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,10.0,"Bekk er helt tør nå, men bekkeleie nedstrøms bærer preg av at det vil være en bekk her når det er mer nedbør ",0,8.976070479602477,58.54494269744493,8.975946321455064,58.54496933071119,8.97680794088124,58.54066051453526,478.7181961310599,1412.9282262714012,FKB-Vann,478.7181961310599,False,1.3456142157215243,0.1,74
28,Arendal ,Arendal,,018.711,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,15.0,"Usikker på om kulvert ville vært hinder, ved nok vann til å støtte fisk. Sannsynligvis ok. Helt tør bekk nedstrøms og oppstrøms ",0,8.965973251460088,58.54263256174831,8.965509278043037,58.542597258318224,8.970491276634416,58.540016787157306,392.4303958218369,999.5756837709383,FKB-Vann,392.4303958218369,False,1.3456142157215243,0.1,74
32,Arendal ,Arendal,"Assævannet, bekkefelt",019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,13.0,"Fin steinkulvert. Er registrert som usikker i forhold til hinder fordi denne er smal og det samler seg noe kvist inni kulvert. Ikke nok til å være barriere, men kan gjøre gjennomvandring noe vanskeligere ",0,8.724842191975306,58.49696965125205,8.72497414767669,58.49705655962538,8.724842191975307,58.49696965125206,0.0,3.175275786154525,FKB-Vann,0.0,False,0.9838041749944887,0.04,57
35,Arendal ,Arendal,,019.A1Z,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,17.0,"Usikker på hinder på grunn av lengde, men fin ingang til kulvert og fint habitat nedstrøms ",0,8.687838960715485,58.4779067983464,8.687973030523134,58.47813538768054,8.68785678866604,58.47790485383571,1.062026053300166,247.7503251475282,FKB-Vann,1.0620260533594286,True,,,
43,"Jernbaneveien (sidebekk Nesevja, som renner ut i Nidelva)",Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,"Nederste del av kulvert er løsnet, resten er fylt igjen med jord. ",0,8.621837618726902,58.4346229456585,8.621837470542038,58.43451059529082,8.621722274593987,58.43456056681236,9.674707006618517,9.674707006618517,Elvenett,260.517636071435,False,0.6709730863111635,0.0,29
67,Arendal ,Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Partiell,Partiell,#fdae61,Delvis vandringshinder (partiell),,,20.0,Noe landbrukspreget bekk. Usikker på hinder ,0,8.627417907185016,58.41353926482426,8.62762295582256,58.41384733524114,8.627318255667156,58.41354299973125,5.837124629720994,5.837124629720994,Elvenett,605.0777550973183,False,0.3780222252272072,0.0,24
88,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,16.0,Fisk vil ikke kunne komme opp til kulvert. Men er ikke mye til bekk nedstrøms uansett. ,0,8.650365984375926,58.44438223955545,8.65020660598639,58.44447314680652,8.650511746794162,58.444394112608975,8.611021471051503,8.611021471051503,Elvenett,1024.0998857501504,False,0.34369422030691554,0.0,22
99,Hoveveien (bekk som renner ut i sandumkilen),Arendal,,019.11,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,15.0,"Kulvert tett oppstrøms, mye vegetasjon i bekkeløp begge sider. ",0,8.845738969761783,58.44553813670223,8.845954783233921,58.44597442697571,8.845738992443726,58.44553812989185,0.0015257810974501256,743.0302434811966,FKB-Vann,0.001525781071488648,True,,,
103,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Arendal,Nidelva Furre - Rygene kraftverk bekkefelt,019.B1,Absolutt,Absolutt,#d7191c,Totalt vandringshinder (absolutt),,,20.0,Usikker på om fisk noen gang vil kunne bruke denne bekken. Kulvert blokkert av kvist nedstrøms. Bekk gjengrodd ,0,8.651429720799408,58.44445286472524,8.651468581184893,58.44455776649031,8.650516381263806,58.44437847275912,53.95609159563051,53.95609159563051,Elvenett,1086.237366723556,False,0.001762254074778724,0.0,20
