GA2,ga,Nedstrøms Objekt ID i kart app,Oppstrøms ID,SF 2026 ID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Vurderin vandringshinder,x,y,OBJECTID,Kommentar.1,Vanndybde_oppstrøms,Innvendig diameter,Innv diam mm,Lengde,Vurdering_vannføring,Vurdering vannhastighet,Stedsnavn.1,Vurdering_oppgangshinder,x.1,y.1,Justert konsekvens,Vurderin vandringshinder.1,identifikasjon_lokalId,kommentar utfyllende,Bilde gruppe,FK kommentar,Regine,NVDB,Dublett,Kom til NVDB,Statsveg/fylkesveg,Vassdrag, Er stikkrenna/kulverten et problem for fiskevandring?,Hva er problemet?,"Diameter (cm) (omtrentlig, noen er anslåelser derom det var vanskelig å komme nærme nok kulverten for å måle)",Kommentar stikkord,OBJ.VEGOBJEKT-ID,VSR.VEGSYSTEMREFERANSE,EGS.BRUKSOMRÅDE.6981,"EGS.DIAMETER, INNVENDIG (MM).3113","EGS.BREDDE, INNVENDIG (MM).4548","EGS.HØYDE, INNVENDIG (MM).4549","EGS.DIAMETER, INNVENDIG (MM).3113.1",EGS.HAR INNLØPSRIST.1923,EGS.LENGDE (M).1323,EGS.MATERIALTYPE.6983,EGS.SPESIELLE PROBLEM.4562,EGS.GJENNOMLØP FOR ELV/BEKK.10223,LOK.GEOMETRI,LOK.TYPEVEG,EGS.TILLEGGSINFORMASJON.10771,LOK.KOMMUNE,EGS.TVERRSNITTSFORM.6984,EGS.TYPE UTLØP.1940,Stikk_bru
246.0,246.0,251,252,,"Plastkulvert, helt grei. Ikke hinder. Men noe lav vannføring ",Nei,0,0,15.0,Mandal ,Nei,"423 866,481","6 446 324,519",252.0,ok,100.0,5.0,50.0,8.0,Lav,Lav,0,0.0,"423 855,496","6 446 313,174",Ikke hinder,Nei,022-696-R,0,,,022.2B0,272318964,,,,Trondstadvatnet bekkefelt,,,,,272318964.0,FV3976 S2D1 m159-170,,,,,50.0,,,Betong,,,,Enkel bilveg,,Lindesnes,,Platebru (215),Bru
46.0,46.0,51,56,,"Tørt og mye vegetasjon, som blokerer inngangen noe, men bør kunne vandres igjennom. ",Nei,0,0,0.0,0,Nei,"432 192,82","6 444 098,579",56.0,"Liten vannføring, mye vegetasjon som vil kunne dekke stikkrenna. Bør passere noe fisk.",0.0,20.0,200.0,8.0,Lav,Lav,Birkenesveien,0.0,"432 180,295","6 444 103,727",Ikke hinder,Nei,ikke VF,0,,,022.1B2,86116831,-186202133,,,,,,,,86116831.0,FV3952 S1D10 m765,Vann,500.0,,,500.0,,8.0,Betong,,,POINT Z (79330.403 6465862.335 16.858),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
174.0,174.0,179,182,,Finner ikke nedstrøms ,,0,0,0.0,0,,"458 224,006","6 452 921,051",182.0,"mye slimting, og bratt stigning, og rør fra vei kommer rett ut",1.0,110.0,1100.0,30.0,Lav,Lav,0,0.0,"458 223,737","6 452 969,449",Ikke angitt,,Ikke VF,bekkelukking,,,020.2230,84764474,-1352357,,,,,,,,84764474.0,FV420 S11D1 m3223,Vann,600.0,,,600.0,Nei,4.23,Betong,,Ja,POINT Z (106064.854 6472350.947 2.705),Enkel bilveg,"Finner ikke stikkrenne, finner ikke utløp",Lillesand,Sirkulær,,StikkKulv
27.0,27.0,31,36,,"Lite rør, ser tett ut, men bør ellers kunne vandres gjennom. ",Nei,15,0,5.0,Ålefjærveien,Ja,"440 536,948","6 457 955,55",36.0,"Sannsynligvis tett, leder fra en grøft/bek langs veien. Vil ikke kunne vandres gjennom som den er nå. ",0.0,30.0,300.0,12.0,Lav,Lav,Ålefjær,0.0,"440 529,709","6 457 946,579",Absolutt,Ja,021-1485-R,0,,,021.A4Z,86226133,1461659,,,Venneslafjorden bekkefelt,,,,,86226133.0,FV453 S1D1 m882,Vann,,,,300.0,Nei,,Betong,,,POINT Z (88874.666 6478968.766 91.907),Enkel bilveg,,Vennesla,Sirkulær,Kum,StikkKulv
223.0,223.0,228,230,,"Små plaststikkrenner, ikke passende for fisk og passere. Heller ikke særlig habitat oppstrøms. Hovedsak drenering fra landbruk ",Nei,0,0,20.0,Dypvågveien (bekk Størdalstjenn),Ja,"502 357,083","6 498 280,677",230.0,"to små rør i plast, vann renner fint, gjengrodd",7.0,30.0,300.0,6.0,Lav,Lav,0,0.0,"502 381,409","6 498 279,762",Absolutt,Ja,018-175-R,0,,,018.61Z,1024494316,938268183,,,"Kråkvågbekken, inkl. bekkefelt",,,,,1024494316.0,FV3476 S1D1 m46,Vann,300.0,,,300.0,,7.77,Plast,,,POINT Z (154196.247 6513654.029 15.925),Enkel bilveg,,Tvedestrand,Sirkulær,Åpen grøft,StikkKulv
197.0,197.0,202,205,,"Bekk veldig gjengrodd og begrenset oppstrøms mot innsjøe. Kulvert litt høy og liten. Begrenset bekk nedstrøms. Hvis der kommer ål opp, så er kulvert hinder for ål ",Nei,15,0,25.0,Mandal ,Usikker,"409 804,007","6 449 471,092",205.0,"gjengrodd lenger oppe, men fint tjønn lenger oppe",2.0,30.0,300.0,8.0,Lav,Lav,0,0.0,"409 800,895","6 449 464,071",Partiell,Usikker,022-650-R,0,,,022.B1Z,ikke i nvdb,,nær 86195840,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,,,,,,,300.0,,,,,,,,,,,,
378.0,378.0,383,380,,"Blir delvis blokkert av kvist oppstrøms. Fint habitat, men alt for stillestående og sølete vann. Kulvert ok ",Nei,0,0,30.0,Arendal,Usikker,"491 015,984","6 492 693,286",380.0,"Helt tør oppstrøms, blir delvis blokkert oppstrøms av kvist. ",0.0,100.0,1000.0,12.0,Lav,Lav,Arendal ,0.0,"491 028,833","6 492 701,731",Partiell,Usikker,Ikke VF,0,,,018.C2Z,ikke i nvdb,,nær 84774803,,,,,,,,,,,,,1000.0,,,,,,,,,,,,
25.0,25.0,29,36,,"Jeg går utifra at disse 3 rørene henger sammen,  tror at fisk hvis fisk kan passere vil denne uansett fungere som hinder i en grad  ",Nei,5,0,5.0,Ålefjær ,Usikker,"440 540,371","6 457 956,951",36.0,"Sannsynligvis tett, leder fra en grøft/bek langs veien. Vil ikke kunne vandres gjennom som den er nå. ",0.0,30.0,300.0,12.0,Lav,Lav,Ålefjær,0.0,"440 529,709","6 457 946,579",Partiell,Usikker,021-1485-R,0,,,021.A4Z,86132706,,,,Venneslafjorden bekkefelt,,,,,86132706.0,FV453 S1D1 m1023,Vann,800.0,,,800.0,Nei,112.74,Betong,,Ja,POINT Z (88960.296 6478856.619 95.615),Enkel bilveg,,Vennesla,Sirkulær,Åpen grøft,StikkKulv
70.0,70.0,75,80,,"Denne er sannsynligvis vandringsbarriere grunnet lite rør, og høy stigning",Nei,5,0,0.0,Kystveien ,Ja,"489 501,218","6 482 001,938",80.0,"Barriere, høy stigning, vil sannsynligvis få veldig høy hastighet, strupes inn mot toppen. Mye vegetasjon oppstrøms.",0.0,34.0,340.0,25.0,Lav,Lav,Kystveien ,0.0,"489 499,684","6 482 045,133",Absolutt,Ja,019-506-R,0,,,019.121Z,579765845,493633139,,,Songebekken,,,,,579765845.0,FV410 S5D1 m4508,Vann,,500.0,500.0,500.0,,22.02,,,Ja,POINT Z (139910.469 6498596.875 17.488),Enkel bilveg,,Arendal,Rektangulær,I bekk/elv,StikkKulv
38.0,38.0,43,49,,"Ubetydelig. Finner ikke 100% kulverten nedstrøms. Var tett på oppsiden, mulig gravd ned, eller fylt over. Sannsynligvis uansett ikke egnet for fisk ",Nei,0,0,0.0,Søgne vgs ,Usikker,"432 395,654","6 439 095,737",49.0,"Helt tør oppstrøms, sannsynligvis tiltenkt som drenering fra landbruk. Ser ikke gjennom stikkrenne",0.0,40.0,400.0,8.0,Lav,Lav,Søgne vgs ,0.0,"432 402,371","6 439 102,543",Ikke hinder,Usikker,022-705-R,drensrør,,,022.1A12,86099561,-493666284,,,Søgneelva - Brennåsen til utløp,,,,,86099561.0,FV3958 S1D1 m881,Vann,200.0,,,200.0,,,Plast,,,POINT Z (79095.791 6460855.93 3.565),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
