Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
"Antatt naturlig vandringshinder, Kjetil Flakke","april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Blekestrandsbekken,,"497 228,44","6 489 800,522",,"148 312,883","6 505 655,935"
Naturlig stopp i henhold til lakseregistret. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Fjelldalselva,,"458 377,045","6 455 257,39",,"106 464,964","6 474 662,503"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Amtedalsbekken,,"469 153,736","6 460 805,302",,"117 713,489","6 479 236,914"
Lakseregistret angir stopp ved vei. Må sjekke om dette er naturlig eller menneskeskapt. reg F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Askedalsbekken,,"504 855,073","6 513 511,612",,"158 043,19","6 528 624,051"
Lakseregistret angir stopp her. Må sjekkes. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bossvikbekken,,"506 290,171","6 508 665,731",,"159 040,341","6 523 662,112"
Lakseregistret. Sjekk. Reg. F. Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Gjevingvassdraget,,"506 214,05","6 500 805,621",,"158 260,507","6 515 829,126"
Lakseregistret. Årsak till stopp må sjekkes. Reg; F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Glamslandsbekken,,"460 182,06","6 457 072,622",,"108 428,121","6 476 312,865"
Lakseregistret angir stopp her. Må sjekkes. Reg: F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Grimeelv.,,"465 169,071","6 460 217,503",,"113 685,072","6 479 005,998"
Lakseregistret. Reg: F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Holtvannsbekken,,"453 141,732","6 452 523,19",,"100 996,622","6 472 400,993"
Lakseregistret. Må sjekkes om de går lengre opp. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Isefjærvassdraget,,"452 576,077","6 450 338,366",,"100 237,266","6 470 271,093"
Lakseregistret. Stopp må sjekkes. Reg: F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvernevatsbekken,,"510 475,639","6 504 045,485",,"162 801,097","6 518 679,025"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Landvikbekken,,"472 273,966","6 467 060,046",,"121 385,124","6 485 199,245"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Tyssekilbekken,,"468 192,256","6 462 251,9",,"116 883,229","6 480 766,142"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Landvikvassdraget,,"467 633,032","6 467 849,914",,"116 825,021","6 486 401,779"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Langangsvassdraget,,"493 352,14","6 492 921,834",,"144 725,389","6 509 116,303"
Lakseregistret. Må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Langebekken,,"454 976,994","6 451 534,234",,"102 739,899","6 471 250,384"
Lakseregistret. Må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lindtveitbekken,,"468 643,986","6 459 491,486",,"117 087,62","6 477 971,475"
Ikke angitt i Lakseregistret. Må sjekkes. F Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Moelva,,"456 465,917","6 461 021,337",,"105 072,206","6 480 584,902"
Lakseregistret. må sjekkes. reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Morvikbekken,,"473 535,281","6 464 647,746",,"122 428,246","6 482 679,745"
Lakseregistret. må sjekkes. reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Moisanden,,"478 977,012","6 468 078,736",,"128 163,928","6 485 617,122"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Mørfjærbekken,,"490 448,789","6 485 216,816",,"141 139,947","6 501 689,765"
Lakseregistret. Sjekk punkt. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Steindalsbekken,,"454 784,95","6 454 576,361",,"102 819,605","6 474 303,351"
Lakseregistret. Punkt må sjekkes. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Vallesværelva,,"454 729,432","6 455 983,23",,"102 889,719","6 475 712,26"
Lakseregistret. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Strengselva,,"491 537,456","6 494 143,244",,"143 024,446","6 510 497,1"
Lakseregistret. Sjekk. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Storelva,,"489 960,605","6 497 173,928",,"141 722,693","6 513 661,523"
Lakseregistret. Sjekk. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Storelva,,"490 126,216","6 505 743,842",,"142 655,351","6 522 195,676"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Skjerka,,"496 314,111","6 501 417,698",,"148 440,477","6 517 326,01"
Lakseregistret. Sjekk. Reg. F.Kroglund,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Ånavassdraget,,"450 657,567","6 447 464,019",,"98 066,356","6 467 573,66"
Vandringshinder v/foss. Kulturminner i fossen.,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Vesbekken,,"447 647,781","6 452 021,362",,"95 469,053","6 472 390,238"
Yngel observert ca. 50 m ovenfor Borgevn,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bøensbekk/Dalebekken,,"446 872,52","6 453 576,223",,"94 834,051","6 474 011,145"
Vandringshinder m. foss/blokk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kålbekk,,"449 173,453","6 454 439,411",,"97 207,369","6 474 667,313"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Prestebekk,,"448 116,342","6 454 468,516",,"96 154,986","6 474 790,675"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Buestadbekk,,"448 929,567","6 455 662,344",,"97 073,092","6 475 909,534"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bjorvannsbekken,,"451 084,482","6 459 826,267",,"99 595,238","6 479 872,67"
