OBJECTID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Studentenes vurdering,Anadrom strekning?,Over driftskontrakt?,Type tiltak,Prioritering,Fagkommentar,Kontrollert,Vassdragets viktighet,x,y
2,"ikke vandringssHinder, ser mye fisk ",Nei,0,,40.0,skjosbukten,Nei,,,, ,,Nei,,"85 320,508","6 463 117,304"
3,"langt RØR, SER IKKE OPPSTREMS. sannsynslig vandringshinder,stor ål i åpningen",Nei,0,,50.0,skjosbukten,Usikker,,,, ,,Nei,,"85 403,781","6 462 900,662"
4,"tror ikke dette røret er fisketransporterende, sannsynligvis bare drenering",Nei,0,,15.0,langenesveien,Usikker,,,, ,,Nei,,"84 584,62","6 462 651,06"
5,"sannsynligvis bare drenering, SER IKKE noe oppstrems ",Nei,0,,5.0,langenesveien,Usikker,,,, ,,Nei,,"84 609,033","6 462 668,29"
6,ikke funnet ,,,,,,,,,, ,,Nei,,"84 631,038","6 462 685,965"
7,"vann i røret, tørt å oversiden. sannsynligvis ikke vandringshinder. tørt etter RØR",Nei,0,,0.0,langenesveien,Usikker,,,, ,,Nei,,"84 444,782","6 462 567,464"
8,"ikke barriere, god for vandring, ligger stein som terskler nedstrøms. ",Nei,0,,30.0,langenesveien ,Nei,,,, ,,Nei,,"84 250,624","6 462 492,734"
9,"barriere ved lav vannstand, men sannsynligvis passerer noe fisk. kjempebjørnekjeks langs bekken.",Ja,80,"omtrent 40cm dyp, men med 20 cm avstand til røret. stor kulp",40.0,langenesveien ,Usikker,,,, ,,Nei,,"84 097,901","6 462 476,519"
10,"ikke vandringshinder, observerer noe småfisk. fin god vannføring",Nei,0,,40.0,gillsvannet,Nei,,,, ,,Nei,,"90 780,059","6 470 320,921"
11,både gitter og stålplate nedstrøms vil gjøre dette til hinder  men ikke barriere. hvorfor plate? bedre vannføring hadde gjort ok.,Nei,10,,20.0,gillsvannet,Usikker,,,, ,,Nei,,"90 956,015","6 471 321,658"
12,"bra kantvegetasjo, ikke hinder. bra vannføring. og ligger steiner i vannet, som skaper dynamikk i bekken ",Nei,0,,15.0,joker justvik,Nei,,,, ,,Nei,,"91 015,008","6 472 060,85"
13,"usikker på om dette er utløp, hvis det er det, vil det være nødvendig med høyere vannstand for at fisk skal passere. tørt og Per nå 40 meter ut til innsjøen. ",Nei,0,,0.0,justvik,Usikker,,,, ,,Nei,,"90 941,767","6 472 850,076"
14,"ikke vann gjennom rør, røret er tett oppstrøms inni. burde ryddes. mye søppel nedstrøms, ellers fin  kantvegetasjon. mye søppel nedstrøms. vandringsbarriere nå",Nei,0,,0.0,ålefjær,Ja,,,, ,,Nei,,"90 936,092","6 473 584,961"
15,"kuverter er vel i hovedsak bare drenering, sannsynlig hinder, lite vann  lite vannføring. sannsynligvis ikke gytebekk. ",Nei,0,,5.0,ålefjær,Usikker,,,, ,,Nei,,"90 593,361","6 473 946,153"
16,"usikker på om dette er et sted fisk vandrer, avhengig av kontakt med insjø, noe usannsynlig. må ha vannføring for å være fisketransporterende.  ",Nei,5,,0.0,ålefjær,Usikker,,,, ,,Nei,,"90 818,284","6 474 449,459"
17,"Stort rør ned ender i mindre plastrør. Må sjekke om dette ender i fjorden og hvordan dette er. Sannsynlig hinder, renger med ikke 100% barriere ",Nei,0,,0.0,Ålefjør,Ja,,,, ,,Nei,,"90 841,94","6 475 414,807"
18,"Bra habitat ikke hinder, hindrer ikke vandring. Ser fisk. God vegetasjon. ",Nei,0,,30.0,Ålefjær,Nei,,,, ,,Nei,,"90 758,481","6 475 959,423"
